Year,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,Population,Life expectancy 
2006,161,1,10.39,96,1,6.3,1,96,95,0.1,76122,72.2
2005,16,1,10.48,96,3,59.7,1,97,96,0.1,7658972,72.1
2004,157,1,10.96,94,0,59.1,1,94,95,0.1,771686,72.2
2003,155,1,11.19,96,0,58.6,1,96,96,0.1,7775327,72
2002,157,1,10.2,88,0,58.1,1,94,93,0.1,7837161,71.8
2001,16,1,10.72,93,8,57.5,1,94,94,0.1,89142,71.6
2000,163,1,9.69,94,46,57,1,94,93,0.1,817172,71.1
2015,26,38,,91,99,19.4,61,91,91,0.6,1811624,59.9
2014,268,39,0.01,91,343,18.8,63,91,91,0.6,17585977,59.3
2013,27,40,4.64,88,375,18.2,66,89,88,0.7,1772723,59
2012,271,41,4.75,9,7362,17.7,68,9,9,0.8,16571216,58.6
2011,275,42,4.51,91,860,17.1,71,9,91,0.9,168194,58.1
2010,279,43,4.55,91,2511,16.6,74,9,91,1,1565217,57.5
2009,283,44,4.55,92,54118,16.1,77,91,92,1.1,1514199,56.9
2008,288,45,4.5,93,395,15.6,80,92,93,1.5,14689726,56.1
2007,293,46,4.58,89,12,15.1,83,93,89,1.7,1425221,55.3
2006,32,47,4.73,76,125,14.6,86,94,86,2,13829177,54.3
2005,313,48,4.88,,253,14.2,89,94,82,2.3,1342193,53.3
2004,323,49,4.54,,77,13.7,91,83,79,2.5,133569,52.4
2003,332,49,4.58,,2946,13.3,92,83,79,2.9,12654621,51.6
2002,338,49,4.53,,1744,12.9,93,69,69,3.2,122931,51
2001,344,48,4.56,,4174,12.5,93,62,62,3.6,11944587,56
2000,348,48,3.71,,6074,12.2,92,45,45,4,1167942,51
2015,288,21,,94,9,18.7,31,94,94,0.7,119927,59.6
2014,297,22,0.01,95,0,18.2,32,95,95,0.7,989179,59.1
2013,33,22,0.01,96,0,17.6,32,96,96,1,96186,58.6
2012,312,22,0.01,96,49,17.1,33,96,96,1.2,931971,58
2011,321,22,4.16,96,129,16.6,33,95,96,1.5,94358,57.4
2010,33,23,4.16,96,495,16.1,34,94,96,1.9,876693,56.8
2009,338,23,4.05,94,305,15.7,34,96,94,2.4,848931,56.2
2008,35,23,4.33,92,173,15.2,35,89,92,2.9,8212264,55.3
2007,355,24,4.54,99,43,14.8,36,93,99,3.4,7939573,54.8
2006,361,24,4.5,92,784,14.5,36,88,92,3.8,7675338,54.1
2005,369,24,5.54,87,0,14.1,37,82,87,4.3,7423289,53.4
2004,378,24,5.72,83,2,13.8,38,76,83,4.8,7182451,52.6
2003,387,24,5.84,,224,13.5,38,75,82,5.1,6953113,51.9
2002,387,24,5.98,,1016,13.3,39,74,81,5.2,6741569,51.5
2001,385,25,6.09,,0,13,40,72,81,5.3,6555829,51.3
2000,386,25,6.61,,18363,12.8,41,71,8,5.2,6476,58
2015,397,57,,83,65,28,79,81,83,1.9,,53.3
2014,47,58,0.01,76,50,27.4,80,76,76,2,,52.8
2013,412,59,3.15,8,48,26.8,81,79,8,2.4,,52.3
2012,415,59,3.24,82,137,26.2,82,83,82,2.9,,52
2011,419,60,3.13,62,628,25.6,83,58,62,3.3,,51.7
2010,417,60,3.15,85,441,25,84,81,85,3.3,,51.5
2009,426,60,2.92,81,183,24.4,84,77,81,3.7,,51
2008,437,60,2.69,74,12,23.8,85,58,74,4.1,,54
2007,443,61,2.58,76,5,23.2,87,75,76,5.3,,49.9
2006,452,62,2.65,77,11,22.6,89,76,77,5.8,,49.4
2005,466,63,3.11,76,115,22.1,90,87,76,6.1,,48.7
2004,472,64,3.08,67,3466,21.5,91,76,67,6.5,,48.2
2003,473,64,3.12,63,4770,2.9,92,68,61,6.7,,48
2002,473,65,3.13,48,5882,2.4,93,7,64,6.9,,47.7
2001,467,65,3.15,1,5790,19.9,94,7,66,7,,47.8
2000,461,67,3.45,,5729,19.4,95,66,65,7.1,,47.9
2015,114,0,,96,0,31.3,0,93,93,0.2,532913,73.3
2014,117,0,0.01,97,0,3.5,0,95,95,0.2,526437,73
2013,12,0,0.01,94,0,29.7,0,93,93,0.2,5216,72.8
2012,121,0,0.01,94,0,29,0,94,94,0.3,513979,72.7
2011,122,0,5.07,9,0,28.2,0,9,9,0.3,5867,72.6
2010,123,0,4.75,98,0,27.5,0,99,99,0.4,52384,72.5
2009,124,0,4.45,98,0,26.8,0,99,99,0.4,496963,72.4
2008,124,0,4.16,98,0,26.2,0,99,99,0.4,491723,72.4
2007,126,0,5.28,96,0,25.5,0,98,98,0.6,486438,72.3
2006,129,0,4.25,95,0,24.9,0,97,96,0.6,48795,72.1
2005,134,0,4.26,93,0,24.3,0,95,95,0.8,474567,71.8
2004,14,0,4.19,91,0,23.7,0,94,93,0.8,467664,71.4
2003,144,0,4.16,66,0,23.2,0,93,92,0.9,46147,71.1
2002,148,0,3.82,4,0,22.6,0,92,91,0.8,45216,77
2001,152,0,3.81,,0,22.1,0,91,9,0.8,443716,73
2000,155,0,3.49,,2,21.5,0,9,9,0.8,43579,69.9
2015,174,10,,89,0,19.6,12,87,89,0.2,15517635,68.7
2014,179,11,0.01,88,0,18.9,12,87,88,0.2,152779,68.3
2013,183,11,0.01,83,0,18.2,13,66,83,0.2,1522692,67.8
2012,186,12,0.01,86,15,17.6,14,84,86,0.3,14776866,67.4
2011,19,13,2.12,88,722,17,15,87,88,0.3,14537886,67
2010,192,14,2.2,89,1156,16.4,16,88,89,0.5,143874,66.6
2009,195,15,2.13,92,4779,15.9,17,95,94,0.6,14928,66.1
2008,199,16,2.24,91,4211,15.3,18,91,91,0.7,138859,65.6
2007,24,16,2.08,82,394,14.8,20,82,82,0.9,13676693,65
2006,216,17,2.03,8,188,14.3,21,8,8,1.1,13474489,64.1
2005,234,18,1.99,,264,13.9,22,82,82,1.4,132721,62.9
2004,253,19,1.38,,352,13.5,24,86,85,1.7,1363377,61.5
2003,268,21,1.44,,653,13.1,26,69,69,1.9,12853124,63
2002,273,23,1.43,,1361,12.8,29,54,54,2.1,12634729,59.3
2001,273,25,1.71,,3761,12.4,33,59,6,2.2,1242473,58.5
2000,274,27,1.51,,12237,12.1,36,62,59,2.1,12152354,57.7
2015,357,45,,84,1809,29,68,83,84,3.5,22834522,57.3
2014,366,47,0.01,87,831,28.4,71,86,87,3.7,2223994,56.7
2013,364,48,0.01,89,760,27.8,73,88,89,4,21655715,56.4
2012,369,50,0.01,85,609,27.2,76,85,85,4.6,2182383,55.9
2011,371,51,6.19,82,504,26.6,79,8,82,4.9,252447,55.6
2010,37,53,6.15,84,240,26,82,83,84,5.5,1997495,55.3
2009,373,54,5.89,8,251,25.4,85,79,8,6.3,19432541,54.8
2008,382,56,5.9,84,495,24.9,87,82,84,6.7,18978,54.2
2007,395,57,5.44,82,100,24.4,89,81,82,7,18395389,53.6
2006,394,58,5.22,81,196,23.8,91,78,81,7.2,17899562,53.3
2005,4,58,5.03,79,605,23.3,93,79,8,7.4,1742795,52.8
2004,412,59,4.71,,358,22.8,94,72,73,7.5,1695981,52.1
2003,412,60,4.64,,899,22.3,95,72,73,7.7,16513822,51.8
2002,47,60,4.58,,1448,21.8,97,66,66,7.8,1684886,51.6
2001,41,61,4.43,,23934,21.3,99,61,63,7.9,15671927,51.5
2000,394,62,3.91,,14629,2.9,100,57,62,7.7,15274234,51.4
2015,64,2,,55,195,67,2,91,91,0.1,3584861,82.2
2014,65,2,8.1,55,418,66.4,2,91,91,0.1,35544564,82
2013,67,2,8.2,55,83,65.8,2,91,91,0.1,35155451,81.8
2012,68,2,8.3,7,10,65.3,2,99,95,0.1,3475545,81.6
2011,68,2,8.2,7,803,64.7,2,87,87,0.1,3434278,81.5
2010,7,2,8.4,56,99,64.1,2,88,89,0.1,345274,81.2
2009,72,2,8.4,42,14,63.6,2,89,91,0.1,33628571,81
2008,74,2,8.3,28,62,63,2,89,92,0.1,33245773,87
2007,74,2,8.3,14,101,62.5,2,9,94,0.1,32887928,85
2006,75,2,8.2,14,13,61.9,2,95,95,0.1,325755,85
2005,76,2,8,14,6,61.3,2,93,93,0.1,32312,81
2004,77,2,7.8,14,7,6.6,2,91,91,0.1,31995,80
2003,78,2,7.7,14,15,6,2,88,91,0.1,31676,79.7
2002,79,2,7.7,,6,59.3,2,88,88,0.1,31362,79.5
2001,8,2,7.6,,34,58.5,2,88,89,0.1,31819,79.4
2000,82,2,7.6,,206,57.8,2,88,89,0.1,37697,79.1
2015,397,15,,47,150,22.7,21,47,47,4.4,45461,52.5
2014,437,15,0.01,47,210,22.1,22,47,47,4.5,4515392,58
2013,451,16,0.01,23,596,21.6,23,23,23,5.1,4499653,49.9
2012,439,16,0.01,47,141,21.2,23,47,47,5.1,449416,53
2011,443,16,1.66,47,679,2.7,24,47,47,5.8,4476153,49.8
2010,446,17,1.67,45,2,2.2,24,46,45,6.6,4448525,49.2
2009,453,17,1.56,42,11,19.8,25,45,42,7.3,44423,48.6
2008,477,17,1.52,,12,19.4,25,46,45,8.3,4345386,47.6
2007,495,17,1.5,,49,19,26,46,48,9,42758,46.8
2006,56,17,1.54,,3,18.6,26,47,51,10,421758,46.3
2005,511,17,1.5,,471,18.2,26,47,54,11.2,412791,45.9
2004,512,17,1.5,,1233,17.9,26,45,51,12,45536,45.7
2003,51,17,1.49,,652,17.5,26,44,47,12.8,3981665,45.7
2002,58,17,1.47,,938,17.2,25,42,44,13.4,397612,45.6
2001,54,17,1.52,,2837,16.8,25,4,4,13.9,383223,45.6
2000,49,16,1.51,,3207,16.5,25,38,37,14.3,3754986,46
2015,356,46,,46,418,19.1,77,52,46,2.8,149413,53.1
2014,362,46,0.01,37,1275,18.7,78,44,37,2.9,13569438,52.6
2013,366,46,0.64,39,226,18.2,78,46,39,3.1,13133589,52.2
2012,367,46,0.62,4,120,17.9,79,51,4,3.6,1275135,51.8
2011,365,46,0.56,33,8650,17.5,79,4,33,3.9,12288651,51.6
2010,364,46,0.5,39,194,17.1,80,43,39,4.1,1188722,51.2
2009,37,46,0.47,24,165,16.7,80,32,24,4.4,1152786,57
2008,394,46,0.45,17,63,16.4,80,3,19,4.7,11133861,49.6
2007,394,46,0.42,,441,16.1,80,38,28,4.9,177578,49.4
2006,414,45,0.41,,1594,15.7,80,49,4,5.1,1421597,48.5
2005,46,45,0.42,,2,15.4,79,37,25,5.2,1679,48.6
2004,45,44,0.34,,10324,15.1,78,31,21,5.2,97143,48.5
2003,43,44,0.42,,15801,14.8,77,36,23,5.1,935321,48.4
2002,43,43,0.36,,7277,14.4,76,31,25,5,91689,48.1
2001,4,42,0.3,,24908,14.1,75,26,26,4.8,866312,48
2000,44,41,0.25,,3546,13.9,74,3,36,4.6,8342559,47.6
2015,82,2,,97,9,63.8,2,96,96,0.1,17762681,85
2014,83,2,7.16,95,0,63.1,2,95,95,0.1,17613798,83
2013,84,2,7.2,9,0,62.5,2,9,91,0.1,17462982,81
2012,84,2,6.76,9,0,61.8,2,9,9,0.1,1739746,79.9
2011,86,2,7.26,94,6,61.2,2,93,94,0.1,17153357,79.8
2010,89,2,7.93,92,0,6.6,2,92,92,0.1,16993354,79.1
2009,91,2,7.67,94,1,59.9,2,94,94,0.1,16829442,79.3
2008,88,2,7.31,95,0,59.3,2,95,95,0.1,16661942,79.6
2007,9,2,7.39,92,0,58.7,2,95,96,0.1,16491687,78.9
2006,91,2,7.33,95,0,58.1,2,94,94,0.1,16319792,78.9
2005,93,2,7.57,,0,57.4,2,92,91,0.1,1614764,78.4
2004,97,2,6.32,,0,56.8,2,94,93,0.1,15973778,78
2003,1,2,6.37,,1,56.1,2,96,96,0.1,15799542,77.9
2002,11,2,6.06,,0,55.4,3,97,97,0.1,15623635,77.8
2001,16,2,6.1,,0,54.7,3,96,97,0.1,15444969,77.3
2000,13,2,6.24,,0,54,3,91,91,0.1,15262754,77.3
2015,85,157,,99,42361,32.9,183,99,99,0.1,137122,76.1
2014,86,171,5.78,99,52628,31.9,198,99,99,0.1,136427,75.8
2013,88,185,5.79,99,26883,3.9,216,99,99,0.1,135738,75.6
2012,89,201,5.74,99,6183,3,233,99,99,0.1,135695,75.4
2011,91,215,5.63,99,9943,29,251,99,99,0.1,134413,75.2
2010,92,231,5.75,99,38159,28.1,268,99,99,0.1,133775,75
2009,93,248,4.88,99,52461,27.3,288,99,99,0.1,133126,74.9
2008,97,266,4.27,95,131441,26.5,308,99,97,0.1,1324655,74.5
2007,96,285,3.88,92,109023,25.7,332,94,93,0.1,1317885,74.4
2006,98,307,3.28,91,99602,24.9,360,94,93,0.1,13112,74.2
2005,99,332,2.92,84,124219,24.1,392,87,87,0.1,13372,73.9
2004,11,360,3.04,79,70549,23.4,427,87,87,0.1,129675,73.5
2003,13,391,2.96,75,71879,22.6,467,87,86,0.1,12884,73.1
2002,16,422,2.91,7,58341,21.9,511,86,86,0.1,1284,72.7
2001,11,457,2.84,65,88962,21.2,558,86,86,0.1,127185,72.2
2000,115,490,3.06,6,71093,2.5,608,86,85,0.1,1262645,71.7
2015,143,10,,91,1,57.9,12,91,91,0.1,48228697,74.8
2014,144,11,4.38,9,0,57.2,12,9,9,0.1,47791911,74.6
2013,145,11,4.41,91,1,56.4,13,91,91,0.1,47342981,74.4
2012,143,11,4.44,92,1,55.7,13,91,91,0.1,46881475,74.3
2011,144,12,4.37,85,6,55,14,85,85,0.1,4646646,74.2
2010,15,12,4.28,88,0,54.2,15,88,88,0.1,4591897,73.6
2009,15,13,4.34,92,0,53.5,15,92,92,0.1,45416181,73.6
2008,146,14,4.45,92,0,52.8,16,92,92,0.1,4491544,73.5
2007,144,14,4.66,93,0,52,17,93,93,0.1,44374572,73.5
2006,147,15,4.53,93,0,51.3,17,94,93,0.1,43835722,73.1
2005,144,15,4.38,93,0,5.5,18,93,93,0.1,43285634,73.1
2004,148,16,4.26,89,0,49.8,19,89,89,0.1,42724163,72.8
2003,15,16,4.25,92,0,49,19,92,92,0.1,42152151,72.4
2002,163,17,4.45,78,139,48.2,20,83,81,0.1,41572491,71.8
2001,165,17,4.43,8,3,47.5,21,83,8,0.1,498899,71.5
2000,167,18,4.66,78,1,46.7,21,82,79,0.1,443958,71.4
2015,227,1,,91,0,24.2,2,92,91,0.8,777424,63.5
2014,23,1,0.01,88,0,23.7,2,87,87,0.8,759385,63.2
2013,233,1,0.01,88,0,23.2,2,85,87,0.8,7415,62.9
2012,237,2,0.01,89,1,22.6,2,85,86,0.8,723868,62.5
2011,241,2,0.12,83,3,22.1,2,85,83,0.2,76569,62.2
2010,246,2,0.15,74,0,21.6,2,82,74,0.1,689692,61.8
2009,251,2,0.17,83,1,21.1,2,84,83,0.1,673252,61.3
2008,255,2,0.12,81,0,2.6,2,81,81,0.1,657229,61
2007,259,2,0.16,75,0,2.1,2,75,75,0.1,64162,66
2006,262,2,0.25,69,85,19.6,2,69,69,0.1,626425,63
2005,266,2,0.24,68,912,19.2,2,67,68,0.1,611627,60
2004,269,2,0.27,77,0,18.8,2,73,76,0.1,597228,59.8
2003,271,2,0.26,28,0,18.4,2,8,8,0.1,583211,59.6
2002,271,2,0.08,,0,18,2,98,89,0.1,569479,59.5
2001,272,1,0.08,,0,17.6,2,7,7,0.1,555888,59.5
2000,272,1,0.09,,0,17.3,2,7,7,0.1,542357,59.5
2015,267,7,,8,1359,27.4,10,8,8,2.8,,64.7
2014,275,7,0.01,9,71,26.8,10,9,9,3,,64.2
2013,274,7,0.01,85,124,26.2,10,85,85,3,,63.9
2012,273,7,0.01,62,260,25.6,10,61,85,3.3,,63.7
2011,285,7,3.82,7,315,25,10,69,82,3.5,,62.9
2010,298,7,3.53,74,4,24.5,10,72,74,3.8,,62
2009,314,7,3.47,75,1,23.9,11,76,78,4,,68
2008,338,8,2.58,73,2,23.3,11,77,79,4.3,,59.4
2007,354,8,2.75,64,84,22.8,11,71,72,5,,58.2
2006,368,8,2.25,,126,22.3,12,73,73,5.5,,56.9
2005,394,8,2.03,,146,21.7,13,62,62,5.9,,55.3
2004,48,9,2.58,,3524,21.2,13,67,67,6.3,,54.1
2003,417,9,2.45,,3712,2.7,14,5,5,6.8,,53.2
2002,424,9,2.55,,2788,2.3,14,41,41,7.2,,52.6
2001,419,9,2.3,,2152,19.8,14,32,31,7.6,,52.7
2000,416,9,2.26,,1678,19.3,14,31,33,7.8,,52.9
2013,,0,0.01,98,0,82.8,0,98,98,0.1,,
2015,95,1,,92,0,6.5,1,92,92,0.1,487852,79.6
2014,96,1,3.45,91,1,59.5,1,91,91,0.1,4757575,79.5
2013,96,1,3.42,94,0,58.5,1,95,95,0.1,47641,79.4
2012,97,1,3.34,91,0,57.5,1,9,91,0.1,4654122,79.2
2011,98,1,3.41,84,0,56.5,1,82,85,0.1,46474,79
2010,16,1,3.58,89,0,55.5,1,93,88,0.1,454528,78.1
2009,96,1,4.07,87,0,54.4,1,8,86,0.1,4488263,79.2
2008,99,1,4.22,89,0,53.4,1,89,9,0.1,442958,78.9
2007,93,1,4.2,89,0,52.4,1,89,89,0.1,4369469,78.9
2006,16,1,4.15,88,0,51.4,1,89,89,0.1,438794,78
2005,97,1,4.1,9,1,5.3,1,91,91,0.1,4247841,78.6
2004,12,1,4.09,89,0,49.3,1,9,9,0.1,418738,77.7
2003,1,1,4.04,86,1,48.3,1,88,88,0.1,4125971,78
2002,99,1,4.17,94,0,47.3,1,94,94,0.1,46324,78.3
2001,1,1,4.29,8,0,46.4,1,92,91,0.1,3996798,77.5
2000,98,1,4.34,89,0,45.4,1,8,88,0.1,3925443,77.6
2015,95,0,,94,206,63.7,0,94,94,0.1,42364,78
2014,97,0,12.14,95,0,63.1,0,95,95,0.1,4238389,77.8
2013,97,0,12.39,96,0,62.5,0,96,96,0.1,4255689,77.7
2012,14,0,11.49,98,2,61.9,0,96,96,0.1,4267558,77.1
2011,14,0,12.19,97,12,61.3,0,96,96,0.1,428622,77
2010,16,0,12.1,97,7,6.6,0,97,97,0.1,4417781,76.6
2009,19,0,12.21,97,2,6,0,96,96,0.1,442978,76.3
2008,116,0,12.06,97,51,59.4,0,96,96,0.1,443458,76
2007,114,0,12.56,95,0,58.7,0,96,96,0.1,4436,75.8
2006,113,0,11.83,,1,58.1,0,96,96,0.1,444,75.9
2005,116,0,11.59,,2,57.5,0,96,96,0.1,4442,75.2
2004,114,0,13.11,,54,56.9,0,96,96,0.1,4439,75.4
2003,122,0,13.78,,19,56.3,0,95,94,0.1,444,74.7
2002,124,0,13.39,,6,55.8,0,95,95,0.1,444,74.8
2001,126,0,13.15,,8,55.2,0,94,94,0.1,444,74.9
2000,127,0,12.73,,9,54.7,0,94,93,0.1,4426,74.7
2015,92,1,,99,0,61.4,1,99,99,0.1,,79.1
2014,93,1,4.37,97,0,6.7,1,99,99,0.1,,79
2013,96,1,4.18,96,0,59.9,1,99,99,0.1,,78.7
2012,96,1,4.16,96,0,59.2,1,98,99,0.1,,78.7
2011,92,1,4.14,96,0,58.4,1,99,97,0.1,,78.8
2010,98,1,4.13,96,0,57.7,1,99,96,0.1,,78
2009,11,1,4.01,96,0,56.9,1,99,96,0.1,,78.1
2008,12,1,4.26,95,0,56.2,1,99,95,0.1,,77.9
2007,14,1,4.13,93,0,55.4,1,99,93,0.1,,78.1
2006,14,1,4.17,89,0,54.6,1,99,89,0.1,,78
2005,19,1,4.48,95,0,53.8,1,99,89,0.1,,77.2
2004,17,1,4.38,99,0,53,1,98,88,0.1,,77.3
2003,18,1,4.39,99,0,52.1,1,98,72,0.1,,77.4
2002,19,1,4.1,98,0,51.3,1,98,99,0.1,,77.7
2001,115,1,4.04,98,0,5.4,1,99,98,0.1,,76.7
2000,115,1,3.92,98,0,49.4,1,98,95,0.1,,76.9
2015,52,0,,97,0,6.3,0,97,97,0.1,116985,85
2014,53,0,0.01,96,10,59.8,0,99,99,0.1,115239,83
2013,54,0,9.04,96,0,59.2,0,99,99,0.1,1143896,81
2012,56,0,10.55,96,1,58.7,0,99,99,0.1,113562,80
2011,57,0,10.69,96,0,58.3,0,99,99,0.1,1124835,79.7
2010,59,0,11.32,96,18,57.8,0,99,99,0.1,111267,79.5
2009,6,0,10.8,96,0,57.3,0,99,99,0.1,19876,79.3
2008,62,0,12.01,93,1,56.8,0,97,97,0.1,181563,79.1
2007,63,0,11.56,93,0,56.3,0,97,97,0.1,163712,78.9
2006,64,0,11.47,93,0,55.8,0,97,97,0.1,14559,78.8
2005,65,0,11.41,88,1,55.3,0,98,98,0.1,127658,78.7
2004,65,0,13.03,88,0,54.8,0,98,98,0.1,1141,78.6
2003,66,0,10.62,88,0,54.3,0,98,98,0.1,993563,78.5
2002,68,0,11.68,88,0,53.8,0,98,98,0.1,976966,78.4
2001,69,0,10.16,89,0,53.3,0,97,97,0.1,96282,78.2
2000,7,0,9.56,89,0,52.8,0,97,97,0.1,943286,78.1
2015,86,0,,97,9,66.1,0,97,97,0.1,,78.8
2014,88,0,12.68,99,222,65.6,0,99,97,0.1,,78.6
2013,9,0,12.45,99,15,65.1,0,99,98,0.1,,78.2
2012,93,0,12.71,99,22,64.5,0,99,99,0.1,,78
2011,97,0,12.43,99,17,64,0,99,99,0.1,,77.8
2010,99,0,12.69,99,0,63.6,0,99,99,0.1,,77.5
2009,12,0,13.23,99,5,63.1,0,99,99,0.1,,77.1
2008,16,0,13.25,99,2,62.6,0,99,99,0.1,,77
2007,17,0,13.43,99,2,62.2,0,99,99,0.1,,76.8
2006,19,0,13.03,98,7,61.8,0,98,98,0.1,,76.5
2005,114,0,13.19,99,0,61.3,0,96,97,0.1,,75.9
2004,116,0,13.24,98,17,6.8,0,96,98,0.1,,75.8
2003,122,0,13.01,92,30,6.4,0,97,97,0.1,,75.2
2002,12,0,13.47,86,4,59.9,0,97,98,0.1,,75.3
2001,123,0,13.36,,6,59.4,0,97,98,0.1,,75.1
2000,126,0,13.22,,9,59,0,98,98,0.1,,74.7
2015,139,6,,96,0,32.9,7,99,96,0.1,,76
2014,142,6,0.01,93,3,32.4,8,99,93,0.1,,73
2013,146,6,3.35,93,0,31.8,8,99,93,0.1,,71
2012,149,7,3.61,96,0,31.3,9,99,96,0.1,,69.8
2011,153,8,3.39,94,0,3.8,10,99,94,0.1,,69.4
2010,157,8,3.12,93,0,3.3,10,99,93,0.1,,69
2009,161,9,3.35,93,0,29.7,11,98,93,0.1,,68.7
2008,164,9,3.16,92,8,29.2,12,98,92,0.1,,68.6
2007,166,9,3.13,92,3550,28.7,12,99,92,0.1,,68.5
2006,165,10,3.28,96,0,28.2,12,98,89,0.1,,68.5
2005,165,10,3.21,92,0,27.7,13,97,79,0.1,,68.5
2004,165,11,3.13,98,0,27.2,14,99,72,0.1,,68.4
2003,165,12,3.13,27,0,26.7,15,99,68,0.1,,68.1
2002,167,14,3.08,,0,26.2,18,99,64,0.1,,67.6
2001,177,16,2.53,,0,25.7,21,98,62,0.1,,66.6
2000,192,18,3.52,,0,25.2,25,93,56,0.1,,65.4
2015,258,236,,81,5020,21.6,308,78,81,1.1,,59.8
2014,266,237,0.01,8,33711,21.1,312,79,8,1.1,,59.3
2013,272,238,0.01,74,88381,2.6,314,74,74,1.2,,58.8
2012,277,239,0.01,75,72029,2.1,317,76,75,1.5,,58.3
2011,278,239,1.82,74,133802,19.6,319,77,74,1.6,,57.9
2010,283,239,1.81,6,5407,19.1,321,76,6,1.6,,57.4
2009,292,238,2.13,72,57,18.6,323,78,72,1.7,,56.7
2008,295,237,2.09,65,12461,18.2,324,64,65,1.8,,56.3
2007,299,236,1.52,7,55577,17.8,326,72,7,1.9,,55.7
2006,36,235,1.53,,80123,17.3,327,62,62,2,,55
2005,314,233,1.43,,182485,16.9,329,6,6,2,,54.3
2004,323,232,1.44,,44934,16.5,330,52,54,2.1,,53.5
2003,332,231,1.83,,21956,16.1,331,47,41,2.2,,52.8
2002,341,229,1.85,,30466,15.7,331,4,38,2.4,,52.1
2001,34,227,1.9,,8072,15.3,332,3,3,2.4,,51.8
2000,346,226,1.98,,8282,14.9,332,42,4,2.5,,51.3
2015,71,0,,,9,58.8,0,93,93,0.1,5683483,86
2014,73,0,9.64,,27,58.4,0,94,94,0.1,5643475,84
2013,75,0,9.5,,17,58.1,0,94,94,0.1,5614932,81
2012,76,0,9.26,,2,57.7,0,94,94,0.1,5591572,80
2011,79,0,10.47,,84,57.4,0,91,91,0.1,557572,79.7
2010,84,0,10.28,,5,57,0,9,9,0.1,5547683,79.2
2009,86,0,10.08,,6,56.6,0,89,89,0.1,552395,78.9
2008,88,0,10.7,,14,56.3,0,88,88,0.1,5493621,78.8
2007,93,0,10.99,,2,55.9,0,87,87,0.1,5461438,78.4
2006,93,0,11.02,,27,55.4,0,93,93,0.1,5437272,78.1
2005,92,0,11.28,,2,55,0,93,93,0.1,5419432,78.1
2004,98,0,11.27,,0,54.4,0,95,95,0.1,544523,77.7
2003,11,0,11.54,,0,53.9,0,96,96,0.1,539574,77.3
2002,14,0,11.34,,32,53.3,0,98,98,0.1,5375931,77
2001,12,0,11.56,,11,52.8,0,97,97,0.1,5358783,77
2000,12,0,11.69,,14,52.2,0,97,97,0.1,5339616,76.9
2015,241,1,,84,47,35,1,84,84,2.1,927414,63.5
2014,252,1,0.38,78,0,34.4,1,78,78,2.1,912164,63
2013,256,1,0.53,82,28,33.8,2,82,82,2.1,896688,62.7
2012,263,1,0.52,81,709,33.2,2,81,81,1.9,881185,62.2
2011,268,1,0.39,87,49,32.7,2,87,87,2.7,865937,61.8
2010,273,1,0.44,88,7,32.2,2,88,88,3.1,851146,61.3
2009,279,1,0.49,89,48,31.7,2,89,89,3.2,83684,69
2008,289,1,0.49,88,143,31.3,2,89,89,3.3,822934,62
2007,296,1,0.45,25,24,3.9,2,88,88,3.5,8942,59.8
2006,39,2,1.02,,49,3.6,2,72,72,3.7,79628,59.1
2005,318,2,1.23,,298,3.2,2,71,71,3.9,783254,58.6
2004,326,2,1.18,,71,29.8,2,64,64,4,77752,58.1
2003,325,2,1.02,,37,29.4,2,68,68,4.2,758615,58
2002,322,2,1.03,,50,29,2,62,62,4.3,746221,57.9
2001,323,2,0.95,,79,28.6,2,49,53,4.3,732711,57.7
2000,325,2,1.34,,183,28.2,2,46,46,4.1,717584,57.4
2013,,0,0.01,96,0,58.4,0,96,96,0.1,,
2015,152,6,,81,0,58.9,7,87,85,0.3,1528394,73.9
2014,154,6,5.92,89,0,57.9,7,9,91,0.3,145844,73.6
2013,157,6,5.93,8,0,56.8,7,82,83,0.3,1281296,73.4
2012,174,6,5.93,74,0,55.8,7,85,85,0.4,115495,72.1
2011,16,6,5.91,8,2,54.7,7,84,84,0.7,12795,73.1
2010,166,6,6.02,83,0,53.6,8,85,88,0.9,9897985,72.7
2009,157,6,6.05,8,0,52.6,8,85,82,1.2,9767758,73.6
2008,161,6,6.12,81,0,51.5,8,86,82,1.4,963652,73.3
2007,164,6,6.05,81,0,5.4,8,86,85,1.6,954353,72.9
2006,178,7,6.2,84,0,49.3,8,88,89,1.8,9371338,72.3
2005,28,7,5.71,87,0,48.2,8,86,87,2,9237566,69.7
2004,214,7,5.16,82,0,47.2,8,66,79,2.1,912998,69.3
2003,22,7,6.32,79,0,46.1,8,65,79,2.3,896776,73
2002,189,7,6.43,63,0,45.1,8,74,82,2.4,8832285,71.4
2001,188,7,6.13,66,113,44.1,9,71,72,2.5,8697126,71.2
2000,176,7,6.58,68,253,43.1,9,71,78,2.5,8562622,72
2015,118,6,,78,0,54.2,7,84,78,0.1,16144368,76.2
2014,121,6,3.82,83,0,53.5,7,84,83,0.1,1593112,76
2013,121,6,3.77,87,0,52.8,8,87,87,0.1,15661547,76
2012,127,7,3.92,88,72,52.1,8,85,87,0.1,15419666,75.5
2011,131,7,3.99,88,257,51.4,8,85,88,0.1,15177355,75.3
